Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),bit amount, error_count(far),BER_(far),0->1_(far),1->0_(far)
MinMax,61,188,114.5,47,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,16,0.01603206412825651,7,9,998,1,0.001002004008016032,1,0
MinMax,61,186.5,118.5,53,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,6,0.006012024048096192,2,4,998,2,0.002004008016032064,1,1
MinMax,61,182,115.5,45.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,4,4,998,2,0.002004008016032064,1,1
MinMax,61,185.5,117.5,45.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,7,3,998,2,0.002004008016032064,1,1
MinMax,61,189.5,108,46.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,14,0.014028056112224449,0,14,998,4,0.004008016032064128,4,0
MinMax,61,189,116.5,46,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,4,6,998,0,0,0,0
MinMax,61,185.5,115,44,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,3,2,998,0,0,0,0
MinMax,61,188,118,49,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,3,5,998,0,0,0,0
MinMax,61,183.5,115.5,45.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,8,1,998,1,0.001002004008016032,0,1
MinMax,61,178.5,125,44.5,HFNL,142,5,0.035211267605633804,3,2,142,0,0,0,0
,,,,,,998,20,0.02004008016032064,18,2,998,1,0.001002004008016032,0,1
MinMax,61,191,117,49,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,14,0.014028056112224449,3,11,998,1,0.001002004008016032,0,1
MinMax,61,192,109,49.5,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,1,10,998,3,0.003006012024048096,3,0
MinMax,61,184.5,113,51,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,2,7,998,1,0.001002004008016032,1,0
MinMax,61,187,112,41.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,14,0.014028056112224449,3,11,998,3,0.003006012024048096,3,0
MinMax,61,189,111.5,45.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,4,5,998,1,0.001002004008016032,1,0
MinMax,61,183.5,130,49,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
